NULL|NULL|25.000000|366|VENUS|SOLAR SYSTEM|GO|VENUS AND MARS: THE CLOSEST PLANETARY ANALOGUES TO COMETS|01100297|The recent discovery of unexpectedly bright X-ray emission from comets has led to increased interest in X-ray studies of solar system objects. It has demonstrated that even in our immediate astronomical environment surprises may be waiting for being discovered. With their ca rbon and oxygen rich atmospheres and the absence of strong magnetic fields, Venus and Mars represent the closest planetary analogues to comets. Soft X-ray observations provide a sensitive tool to study such atmospheres, in particular any outgassing effects. AXAF is the first imaging X-ray satellite which is able to observe Venus, and Mars at opposition, when it is closest to Earth.|24.300000|Dennerl|Konrad
NULL|NULL|52.000000|392|P/TEMPEL 2|SOLAR SYSTEM|GO|AXAF LOW ENERGY SPECTROSCOPY AND PHOTOMETRIC IMAGING OF COMETARY X-RAY EMISSION FROM COMET P/TEMPEL 2|01100323|The discovery of x-ray emission from comets has produced a number of questions about the physical mechanism producing the radiation. There are now a variety of explanations for the emission, from thermal bremsstrahlung of electrons off neutrals or dust, to charge exchange in duced emission from solar wind ions, to reconnection of solar magnetic field lines. In an effort to understand this new phenomenon, we propose spectroscopic and imaging photometric observations with the AXAF ACIS-S of periodic comet P/Tempel 2 during its close approach to Earth in 1 999. Our scientific goal is to determine the mechanism(s) responsible for the observed x-rays by producing detailed low energy spectra, high spatial resolution images, hardness maps of the emission.|24.000000|Lisse|Carey
293.688333|30.516417|20.000000|403|BD+303639|SOLAR SYSTEM|GO|X-RAY IMAGING OF THE INTERACTING WINDS OF PLANETARY NEBULAE|01100334|Certain planetary nebulae (PNe) are X-ray sources. Although this emission is generally ascribed to central stars, PNe also should display hot (> 10^6 K), diffuse X-ray emission, according to the "interacting winds" model of PN evolution. With the unprecedented combination of spatial and spectral resolution afforded by AXAF/ACIS we will, for the first time, distinguish unambiguously between diffuse, nebular X-ray emission and emission from the central star. We propose to observe 4 PNe that, based on previous ROSAT and ASCA results, are likely to display extended, high-temperature X-ray emission in ACIS images and spectra. These data will provide constraints on PN X-ray emission models and on the excitation of H_2 emission from PNe.|40.000000|Kastner|Joel
316.756667|42.236028|20.000000|403|NGC7027|SOLAR SYSTEM|GO|X-RAY IMAGING OF THE INTERACTING WINDS OF PLANETARY NEBULAE|01100334|Certain planetary nebulae (PNe) are X-ray sources. Although this emission is generally ascribed to central stars, PNe also should display hot (> 10^6 K), diffuse X-ray emission, according to the "interacting winds" model of PN evolution. With the unprecedented combination of spatial and spectral resolution afforded by AXAF/ACIS we will, for the first time, distinguish unambiguously between diffuse, nebular X-ray emission and emission from the central star. We propose to observe 4 PNe that, based on previous ROSAT and ASCA results, are likely to display extended, high-temperature X-ray emission in ACIS images and spectra. These data will provide constraints on PN X-ray emission models and on the excitation of H_2 emission from PNe.|40.000000|Kastner|Joel
58.845833|31.045833|50.000000|907|X PERSEI (HD 24534)|SOLAR SYSTEM|GO|ASSESSEMENT OF INTERSTELLAR DEPLETIONS THROUGH X-RAY ABSORPTION AND SCATTERING BY DUST|01100814|We propose to obtain AXAF/LETGS spectra of K- and L-shell absorption edges and scattering halos due to dust along the line of sight to X Persei. These data, along with our existing HST/GHRS results on gas in the same line of sight, will provide direct information on grain co mposition and sizes. The combination of AXAF and HST data will provide new insights into depletions (independent of any assume "cosmic" abundances), and will provide important new constraints on models for the dust as well as the relationship between stellar and ISM compositions. X Per is a reddened power-law source with a steep high-energy cut-off, making it an ideal candidate (with minimal confusion due to high spectral orders), with sufficient flux to achieve S/N of about 25 in 50 ksec.|50.000000|Snow|Theodore
NULL|NULL|50.000000|993|COMET 10P/TEMPEL 2|SOLAR SYSTEM|GO|SOLVING THE PUZZLE OF COMETARY X-RAY ORIGIN: OBSERVATIONS OF COMET 10P/TEMPEL 2|01100890|The unprecedented spectroscopic and imaging capabilities of AXAF are well suited to solving the puzzle of cometary x-ray origin. In addition, the heliocentric and geocentric distance of Comet 10P/Tempel 2 in August 1999 will make it an ideal subject for x-ray study. We there fore propose a 50 ksec observation of Tempel 2 with HRC-S/LETG that will allow us to test unambiguously the spectral predictions of the leading models for generation of cometary x-rays. We also request a 25 ksec imaging observation with HRC-I to determine the morphology of the comet ary emission. These observations, in conjunction with our campaign of multiwavelength observations, will allow us to test all the proposed models for cometary x-ray emission.|65.250000|VESTRAND|W. THOMAS
NULL|NULL|25.000000|993|COMET 10P/TEMPEL 2|SOLAR SYSTEM|GO|SOLVING THE PUZZLE OF COMETARY X-RAY ORIGIN: OBSERVATIONS OF COMET 10P/TEMPEL 2|01100890|The unprecedented spectroscopic and imaging capabilities of AXAF are well suited to solving the puzzle of cometary x-ray origin. In addition, the heliocentric and geocentric distance of Comet 10P/Tempel 2 in August 1999 will make it an ideal subject for x-ray study. We there fore propose a 50 ksec observation of Tempel 2 with HRC-S/LETG that will allow us to test unambiguously the spectral predictions of the leading models for generation of cometary x-rays. We also request a 25 ksec imaging observation with HRC-I to determine the morphology of the comet ary emission. These observations, in conjunction with our campaign of multiwavelength observations, will allow us to test all the proposed models for cometary x-ray emission.|65.250000|VESTRAND|W. THOMAS
0.000000|0.000000|36.000000|2198|COMET 19P/BORRELLY|SOLAR SYSTEM|DDT|X-RAY EMISSION FROM COMET 10P/BORRELLY DURING THE DEEP SPACE 1 ENCOUNTER|01108023|X-ray emission from comets is now a well established phenomenon. During the last years a lot of evidence has emerged that the dominant mechanism is charge exchange between heavy solar wind ions and cometary neutrals. The recent Chandra ACIS-S observation of Comet C/1999 S4 ( LINEAR) has provided the final proof. Measurements of solar wind parameters, however, have never been made sufficiently near to a comet to allow a direct comparison with the X-ray flux. The recent decision of NASA to extend the Deep Space 1 mission for a rendezvous with comet 19P/Bo rrelly in Sept 2001 opens, for the first time ever, the unique opportunity to combine in-situ measurements of the solar wind properties at a comet with simultaneous X-ray observations. This RfO is submitted as a request for DDT since the dec|0.000000|Dennerl|Konrad
47.042083|40.955667|50.000000|317|ALGOL|NORMAL STARS AND WD|GO|ACIS/HETG SPECTROSCOPY OF THE ACTIVE BINARIES ALGOL & UX ARI|01200248|Previous low- and moderate-resolution X-ray spectroscopy of active binary stars have yielded surprising results concerning the abundances of the elements in these coronal plasmas, viz., that, in almost every well-studied case, a solar photospheric abundance plasma model cann ot fit the observed spectrum: e.g., in some stars, Fe abundances of 10% of the solar value have been inferred. To verify and extend these findings, we propose to observe with the HETG two of the best-studied such stars, Algol and UX Ari. We will study the detailed structure of the H e-like multiplets of the abundant elements O, Ne, Mg, Si, S, Ar, Ca, and Fe, and rederive their abundances, and also search for anomalous line ratios due to effects such as high resonance-line opacity and/or high electron densities.|100.000000|DRAKE|STEPHEN
51.647500|28.715139|50.000000|317|UX ARI|NORMAL STARS AND WD|GO|ACIS/HETG SPECTROSCOPY OF THE ACTIVE BINARIES ALGOL & UX ARI|01200248|Previous low- and moderate-resolution X-ray spectroscopy of active binary stars have yielded surprising results concerning the abundances of the elements in these coronal plasmas, viz., that, in almost every well-studied case, a solar photospheric abundance plasma model cann ot fit the observed spectrum: e.g., in some stars, Fe abundances of 10% of the solar value have been inferred. To verify and extend these findings, we propose to observe with the HETG two of the best-studied such stars, Algol and UX Ari. We will study the detailed structure of the H e-like multiplets of the abundant elements O, Ne, Mg, Si, S, Ar, Ca, and Fe, and rederive their abundances, and also search for anomalous line ratios due to effects such as high resonance-line opacity and/or high electron densities.|100.000000|DRAKE|STEPHEN
229.378333|-58.801111|20.000000|678|HD 135379|NORMAL STARS AND WD|GO|A COMPREHENSIVE INVESTIGATION OF X-RAY EMISSION FROM INTERMEDIATE MASS STARS|01200256|Although X-rays have been detected from essentially all types of stars, one portion of the X-ray H-R Diagram remains an enigma. Despite large surveys using Einstein and ROSAT, it is still not clear whether or not main sequence stars of intermediate mass (spectral types B3--A 7) are intrinsic X-ray sources. Stars cooler than spectral type F0 are coronal X-ray sources and O3--B3 stars are wind X-ray sources, but are the intermediate mass stars intrinsic X-ray sources and how are they heated? We will exploit AXAF's three unique properties (high resolution imaging, high energy resolution, and high sensitivity detectors with very low background) to determine whether or not the intermediate mass stars are intrinsic X-ray sources and to study the nature of the X-ray emitting plasma.|39.400000|Linsky|Jeffrey
